,encoding,opt_name,reason,proved
625,partial,AndOrXor:1849,undef,yes
626,partial,AndOrXor:1849,values,yes
627,partial,AndOrXor:1850,poison,yes
628,partial,AndOrXor:1850,undef,yes
629,partial,AndOrXor:1850,values,yes
630,partial,AndOrXor:1864,poison,yes
631,partial,AndOrXor:1864,undef,yes
632,partial,AndOrXor:1864,values,no
633,partial,AndOrXor:1869,poison,yes
634,partial,AndOrXor:1869,undef,yes
635,partial,AndOrXor:1869,values,yes
636,partial,AndOrXor:1870,poison,yes
637,partial,AndOrXor:1870,undef,yes
638,partial,AndOrXor:1870,values,yes
639,partial,AndOrXor:1879,poison,yes
640,partial,AndOrXor:1879,undef,yes
641,partial,AndOrXor:1879,values,yes
642,partial,AndOrXor:1880,poison,yes
643,partial,AndOrXor:1880,undef,yes
644,partial,AndOrXor:1880,values,yes
645,partial,AndOrXor:1884,poison,yes
646,partial,AndOrXor:1884,undef,yes
647,partial,AndOrXor:1884,values,yes
648,partial,AndOrXor:1885,poison,yes
649,partial,AndOrXor:1885,undef,yes
650,partial,AndOrXor:1885,values,yes
651,partial,AndOrXor:1894,poison,yes
652,partial,AndOrXor:1894,undef,yes
653,partial,AndOrXor:1894,values,yes
654,partial,AndOrXor:1895,poison,yes
655,partial,AndOrXor:1895,undef,yes
656,partial,AndOrXor:1895,values,yes
657,partial,AndOrXor:1899,poison,yes
658,partial,AndOrXor:1899,undef,yes
659,partial,AndOrXor:1899,values,yes
660,partial,AndOrXor:1900,poison,yes
661,partial,AndOrXor:1900,undef,yes
662,partial,AndOrXor:1900,values,yes
663,partial,AndOrXor:1979,poison,yes
664,partial,AndOrXor:1979,undef,yes
665,partial,AndOrXor:1979,values,no
666,partial,AndOrXor:2008,poison,yes
667,partial,AndOrXor:2008,undef,yes
668,partial,AndOrXor:2008,values,no
669,partial,AndOrXor:210,poison,yes
670,partial,AndOrXor:210,undef,yes
671,partial,AndOrXor:210,values,no
672,partial,AndOrXor:2113,poison,yes
673,partial,AndOrXor:2113,undef,yes
674,partial,AndOrXor:2113,values,no
675,partial,AndOrXor:2118,poison,yes
676,partial,AndOrXor:2118,undef,yes
677,partial,AndOrXor:2118,values,no
678,partial,AndOrXor:2123,poison,yes
679,partial,AndOrXor:2123,undef,yes
680,partial,AndOrXor:2123,values,no
681,partial,AndOrXor:2160,poison,yes
682,partial,AndOrXor:2160,undef,yes
683,partial,AndOrXor:2160,values,no
684,partial,AndOrXor:2188,poison,yes
685,partial,AndOrXor:2188,undef,yes
686,partial,AndOrXor:2188,values,no
687,partial,AndOrXor:2243,poison,yes
688,partial,AndOrXor:2243,undef,yes
689,partial,AndOrXor:2243,values,no
690,partial,AndOrXor:2247,poison,yes
691,partial,AndOrXor:2247,undef,yes
692,partial,AndOrXor:2247,values,no
693,partial,AndOrXor:2263,poison,yes
694,partial,AndOrXor:2263,undef,yes
695,partial,AndOrXor:2263,values,no
696,partial,AndOrXor:2264,poison,yes
697,partial,AndOrXor:2264,undef,yes
698,partial,AndOrXor:2264,values,no
