filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
rec_AndOrXor:1827_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:989_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2243_poison_14.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1295_undef_19.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_muldivrem:239_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1849_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1870_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:961_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:757_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2595_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:2367_poison_43.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:940_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:979_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1683-2_poison_23.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:887-2_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1900_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1012_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:732-2_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:732-1_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:363_values_6.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:931_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1795_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:2647_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:1740_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AddSub:1295_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:151_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:364_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:2243_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AddSub:1624_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
