filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
full_AndOrXor:2443_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1885_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2188_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:1832_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:745_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2160_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:967_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1884_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1831_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1833_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1683-1_values_78.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1176_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
full_AndOrXor:1894_values_0.smt2,unknown,unsat,timeout,timeout,timeout,timeout,unsat
